1.0061 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2298.6569 	EXP 	polygon: autoDraw = False
2299.6455 	EXP 	eyetracker.setRecordingState(False)
2299.6512 	DATA 	Keypress: t
2299.6544 	EXP 	New trial (rep=0, index=6): OrderedDict([('trial_count', 8), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789464, 11.733433509789462]), ('responseImage1_X', 11.733433509789464), ('responseImage1_Y', 11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage2_X', -11.733433509789462), ('responseImage2_Y', 11.733433509789464), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage3_X', -11.733433509789464), ('responseImage3_Y', -11.733433509789462), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2299.6594 	EXP 	eyetracker.clearEvents()
2300.1616 	EXP 	eyetracker.setRecordingState(True)
2300.1767 	EXP 	sample: autoDraw = False
2300.1767 	EXP 	Delay: autoDraw = False
2300.1767 	EXP 	Response_1: autoDraw = False
2300.1767 	EXP 	Response_2: autoDraw = False
2300.1767 	EXP 	Response_3: autoDraw = False
2300.1767 	EXP 	polygon: autoDraw = False
2300.1767 	EXP 	sample: image = 'images/picture_1.png'
2300.1767 	EXP 	sample: autoDraw = True
2300.1767 	EXP 	Delay: autoDraw = True
2300.8920 	DATA 	Keypress: t
2301.1902 	EXP 	sample: autoDraw = False
2301.5098 	EXP 	Response_1: autoDraw = True
2301.5098 	EXP 	Response_2: autoDraw = True
2301.5098 	EXP 	Response_3: autoDraw = True
2301.7765 	EXP 	Delay: autoDraw = False
2302.3909 	DATA 	Keypress: t
2302.6564 	EXP 	polygon: autoDraw = True
2302.6759 	EXP 	Response_1: autoDraw = False
2302.6759 	EXP 	Response_2: autoDraw = False
2302.6759 	EXP 	Response_3: autoDraw = False
2303.6566 	EXP 	polygon: autoDraw = False
2303.8925 	DATA 	Keypress: t
2304.6782 	EXP 	eyetracker.setRecordingState(False)
